Age Group,Male,Female
Under 1 year,110,90
0-17 years,423,347
1-4 years,45,42
5-14 years,127,108
15-24 years,1364,937
18-29 years,3340,2136
25-34 years,6033,3756
30-39 years,10032,6035
35-44 years,15458,9215
40-49 years,24386,14046
45-54 years,38356,21066
50-64 years,103541,61897
55-64 years,80229,49247
65-74 years,119879,81413
75-84 years,126727,99225
85 years and over,98714,128346
